eq.;type;type2;primer;Cn;réaction;ATP;ATP2;NADHc;NADHm;FADH2;NADPH;CO2;O2;NH3;OAA;aKG;PYR;ACoAm;ACoAc;GLC;G6P;G3P;Glycerol3P;primerC2;primerC4;lactose;C4;c6;c8;c10;c12;c14;c16;Glycerol;Acetate;BHBA;Lactate;Lysine;Methionine;Cysteine;Threonine;Tryptophane;Isoleucine;Leucine;Valine;Phénylalanine;Tyrosine;Histidine;Arginine;glycine;Alanine;glutamate;Glutamine;Proline;aspartate;peptide;asparagine;SERPivot;SERoutput;RepartitionCarbones;RepartitionAzotes;CO2_OUTPUT;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8
91;0;0;4;8;primer C(4:0)CoA → C(8:0);-2;-2;0;0;0;-4;0;0;0;0;0;0;0;-2;0;0;0;0;0;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0
92;0;0;4;12;primer C(4:0)CoA → C(12:0);-4;-4;0;0;0;-8;0;0;0;0;0;0;0;-4;0;0;0;0;0;-1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0
93;0;0;4;14;primer C(4:0)CoA → C(14:0);-5;-5;0;0;0;-10;0;0;0;0;0;0;0;-5;0;0;0;0;0;-1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0
94;0;0;4;16;primer C(4:0)CoA → C(16:0);-6;-6;0;0;0;-12;0;0;0;0;0;0;0;-6;0;0;0;0;0;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
95;0;0;0;0;glycerol input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;acetate input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;BHBA input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;lactate input;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;lactose output;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;C(4:0) output;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
